filename,subject,format,prompt
"punto-azul_causa-golf.png","Causa golf (Nuevos): Masa de papa amarilla coronada con láminas de palta, acompañada de langostinos al panko envueltos en nuestra secreta salsa golf. Autor: Pablo Tarazona. Ingredientes: Papa amarilla, Palta, Langostinos, Salsa golf.","1:1","SUJETO: Causa golf (Nuevos): Masa de papa amarilla coronada con láminas de palta, acompañada de langostinos al panko envueltos en nuestra secreta salsa golf. Autor: Pablo Tarazona. Ingredientes: Papa amarilla, Palta, Langostinos, Salsa golf. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ceviche-crocante.png","Ceviche crocante (Nuevos): Crocantes bolitas de pescado acevichadas al panko, acompañadas de leche de tigre y guacamole. Autor: Heinz Acevedo. Ingredientes: Pescado, Panko, Leche de tigre, Guacamole.","1:1","SUJETO: Ceviche crocante (Nuevos): Crocantes bolitas de pescado acevichadas al panko, acompañadas de leche de tigre y guacamole. Autor: Heinz Acevedo. Ingredientes: Pescado, Panko, Leche de tigre, Guacamole. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_ensalada-oriental.png","Ensalada Oriental (Nuevos): Acompañada de aliño oriental. Autor: Jordan Cortijo. Ingredientes: Lechuga, Col morada, Holantao, Frijolito chino, Langostinos.","1:1","SUJETO: Ensalada Oriental (Nuevos): Acompañada de aliño oriental. Autor: Jordan Cortijo. Ingredientes: Lechuga, Col morada, Holantao, Frijolito chino, Langostinos. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_flor-amazonica.png","Flor amazónica (Nuevos): Pisco Huamaní Italia, licor 43, copoazú, flor de Jamaica y crema de coco. Autores: Enrique Carranza e Ítalo Sevilla. Ingredientes: Pisco Italia, Licor 43, Copoazú, Jamaica.","1:1","SUJETO: Flor amazónica (Nuevos): Pisco Huamaní Italia, licor 43, copoazú, flor de Jamaica y crema de coco. Autores: Enrique Carranza e Ítalo Sevilla. Ingredientes: Pisco Italia, Licor 43, Copoazú, Jamaica. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_jardin-de-verano.png","Jardín de verano (Nuevos): Jarabe de frutos rojos, jugo de naranja, zumo de limón y zumo de pepino kiuri. Autor: Jairo Daga. Ingredientes: Frutos rojos, Naranja, Limón, Pepino.","1:1","SUJETO: Jardín de verano (Nuevos): Jarabe de frutos rojos, jugo de naranja, zumo de limón y zumo de pepino kiuri. Autor: Jairo Daga. Ingredientes: Frutos rojos, Naranja, Limón, Pepino. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_limonada-hawaiana.png","Limonada Hawaiana (Nuevos): Limonada a base de piña Golden y zumo de limón. Autores: José Núñez y Juan Capcha. Ingredientes: Limón, Piña Golden.","1:1","SUJETO: Limonada Hawaiana (Nuevos): Limonada a base de piña Golden y zumo de limón. Autores: José Núñez y Juan Capcha. Ingredientes: Limón, Piña Golden. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_mojito-criollo-tropical.png","Mojito Criollo Tropical (Nuevos): Pisco, hierba buena, zumo de maracuyá, zumo de mango y agua con gas. Autor: Juan Carlos Castillo. Ingredientes: Pisco, Hierba buena, Maracuyá, Mango.","1:1","SUJETO: Mojito Criollo Tropical (Nuevos): Pisco, hierba buena, zumo de maracuyá, zumo de mango y agua con gas. Autor: Juan Carlos Castillo. Ingredientes: Pisco, Hierba buena, Maracuyá, Mango. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_timbal-de-langostinos.png","Timbal de langostinos (Nuevos): Pasta corta con langostinos y bechamel, gratinados con parmesano y mozzarella. Autores: Vinancio Ynca y Kevin Vargas. Ingredientes: Pasta corta, Langostinos, Bechamel, Queso.","1:1","SUJETO: Timbal de langostinos (Nuevos): Pasta corta con langostinos y bechamel, gratinados con parmesano y mozzarella. Autores: Vinancio Ynca y Kevin Vargas. Ingredientes: Pasta corta, Langostinos, Bechamel, Queso. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_timbal-de-mariscos.png","Timbal de mariscos (Nuevos): Pasta corta bañada en salsa de marisco, gratinada con parmesano y mozzarella. Autora: Mirella Garay. Ingredientes: Pasta corta, Mariscos, Parmesano, Mozzarella.","1:1","SUJETO: Timbal de mariscos (Nuevos): Pasta corta bañada en salsa de marisco, gratinada con parmesano y mozzarella. Autora: Mirella Garay. Ingredientes: Pasta corta, Mariscos, Parmesano, Mozzarella. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
"punto-azul_tropical-ice.png","Tropical Ice (Nuevos): Aguaymanto, maracuyá, crema de coco, canela y vainilla. Autores: Ítalo Sevilla y Enrique Carranza. Ingredientes: Aguaymanto, Maracuyá, Crema de coco, Canela.","1:1","SUJETO: Tropical Ice (Nuevos): Aguaymanto, maracuyá, crema de coco, canela y vainilla. Autores: Ítalo Sevilla y Enrique Carranza. Ingredientes: Aguaymanto, Maracuyá, Crema de coco, Canela. ESTILO: Fotografía gastronómica profesional y muy apetitosa de un plato de cevichería peruana. Un solo plato servido en vajilla elegante, centrado, tomado en ángulo de 45 grados, luz natural suave, fondo neutro de madera clara o cerámica texturizada, colores vibrantes y frescos, alta definición, enfoque nítido con fondo desenfocado. Sin texto, sin personas, sin manos, sin logotipos ni marcas de agua. Imagen cuadrada 1024x1024."
