filename,subject,format,prompt
"vectaryx_cat-postres.png","Ícono de categoría Postres: porción de torta con cereza","1:1","SUJETO: Ícono de categoría Postres: porción de torta con cereza. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-bebidas.png","Ícono de categoría Bebidas: vaso con sorbete y rodaja","1:1","SUJETO: Ícono de categoría Bebidas: vaso con sorbete y rodaja. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-cocteles.png","Ícono de categoría Cócteles y piscos: copa de cóctel","1:1","SUJETO: Ícono de categoría Cócteles y piscos: copa de cóctel. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-cafe.png","Ícono de categoría Cafetería: taza de café humeante","1:1","SUJETO: Ícono de categoría Cafetería: taza de café humeante. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-desayunos.png","Ícono de categoría Desayunos: huevo frito con pan","1:1","SUJETO: Ícono de categoría Desayunos: huevo frito con pan. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-kids.png","Ícono de categoría Menú infantil: carita con globo o juguete","1:1","SUJETO: Ícono de categoría Menú infantil: carita con globo o juguete. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-vegetariano.png","Ícono de categoría Vegetariano: hoja o brote","1:1","SUJETO: Ícono de categoría Vegetariano: hoja o brote. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-sushi.png","Ícono de categoría Sushi y nikkei: pieza de sushi con palitos","1:1","SUJETO: Ícono de categoría Sushi y nikkei: pieza de sushi con palitos. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-mexicano.png","Ícono de categoría Mexicano: taco doblado","1:1","SUJETO: Ícono de categoría Mexicano: taco doblado. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_cat-extras.png","Ícono de categoría Extras y guarniciones: porción de papas/complemento","1:1","SUJETO: Ícono de categoría Extras y guarniciones: porción de papas/complemento. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
