filename,subject,format,prompt
"vectaryx_banner-pizzeria.png","Portada de pizzería: pizza recién horneada, horno de leña al fondo","16:9","SUJETO: Portada de pizzería: pizza recién horneada, horno de leña al fondo. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-cafe-brunch.png","Portada de café/brunch: mesa con café, tostadas y luz natural","16:9","SUJETO: Portada de café/brunch: mesa con café, tostadas y luz natural. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-parrilla.png","Portada de parrilla: cortes a la parrilla con brasas","16:9","SUJETO: Portada de parrilla: cortes a la parrilla con brasas. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-comida-rapida.png","Portada de comida rápida: hamburguesa y papas, vibrante","16:9","SUJETO: Portada de comida rápida: hamburguesa y papas, vibrante. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-saludable.png","Portada de comida saludable: bowls frescos y coloridos","16:9","SUJETO: Portada de comida saludable: bowls frescos y coloridos. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_banner-marino.png","Portada marina genérica: fondo de mar y textura costera para cabecera","16:9","SUJETO: Portada marina genérica: fondo de mar y textura costera para cabecera. ESTILO: Fotografía gastronómica apetitosa y luminosa, luz natural, alta definición, encuadre editorial, sin texto, sin personas identificables, sin logotipos ni marcas de agua. SALIDA: una sola imagen 16:9 (1792x1024)."
"vectaryx_pago-efectivo.png","Ícono de pago en efectivo: billetes/monedas","1:1","SUJETO: Ícono de pago en efectivo: billetes/monedas. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_pago-tarjeta.png","Ícono de pago con tarjeta: tarjeta de crédito","1:1","SUJETO: Ícono de pago con tarjeta: tarjeta de crédito. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_pago-qr.png","Ícono de pago con QR genérico (billetera digital, sin marca)","1:1","SUJETO: Ícono de pago con QR genérico (billetera digital, sin marca). ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
"vectaryx_estado-recibido.png","Ícono de estado Pedido recibido: ticket/campana","1:1","SUJETO: Ícono de estado Pedido recibido: ticket/campana. ESTILO: Ícono vectorial plano y minimalista, trazo de grosor uniforme, un solo color tinta gris pizarra sobre fondo transparente (pensado para teñirse con el color de marca de cada restaurante), esquinas suaves, sin texto, sin sombras ni degradados, legible a 24 px. SALIDA: una sola imagen 1:1 (1024x1024)."
